Market,Route,Period,Date,Amount,Currency
Carbon,ICE_EUA,SPOT,11/1/2023,82.57,EUR
Carbon,ICE_EUA,DEC-2023,11/1/2023,82.76,EUR
Carbon,ICE_EUA,JAN-2024,11/1/2023,83.22,EUR
Carbon,ICE_EUA,MAR-2024,11/1/2023,83.78,EUR
Carbon,ICE_EUA,APR-2024,11/1/2023,83.78,EUR
Carbon,ICE_EUA,JUN-2024,11/1/2023,84.82,EUR
Carbon,ICE_EUA,AUG-2024,11/1/2023,85.50,EUR
Carbon,ICE_EUA,SEP-2024,11/1/2023,85.83,EUR
Carbon,ICE_EUA,OCT-2024,11/1/2023,85.83,EUR
Carbon,ICE_EUA,DEC-2024,11/1/2023,86.90,EUR
Carbon,ICE_EUA,JAN-2025,11/1/2023,86.90,EUR
Carbon,ICE_EUA,MAR-2025,11/1/2023,87.98,EUR
Carbon,ICE_EUA,APR-2025,11/1/2023,87.98,EUR
Carbon,ICE_EUA,JUN-2025,11/1/2023,88.87,EUR
Carbon,ICE_EUA,AUG-2025,11/1/2023,89.43,EUR
Carbon,ICE_EUA,SEP-2025,11/1/2023,89.67,EUR
Carbon,ICE_EUA,OCT-2025,11/1/2023,89.67,EUR
Carbon,ICE_EUA,DEC-2025,11/1/2023,90.56,EUR
Carbon,ICE_EUA,JAN-2026,11/1/2023,90.56,EUR
Carbon,ICE_EUA,APR-2026,11/1/2023,91.52,EUR
Carbon,ICE_EUA,DEC-2026,11/1/2023,94.30,EUR
Carbon,ICE_EUA,DEC-2027,11/1/2023,98.25,EUR
Carbon,ICE_EUA,DEC-2029,11/1/2023,106.78,EUR
Carbon,ICE_EUA,DEC-2030,11/1/2023,106.78,EUR
Carbon,ICE_EUA,SPOT,11/2/2023,83.64,EUR
Carbon,ICE_EUA,DEC-2023,11/2/2023,83.81,EUR
Carbon,ICE_EUA,JAN-2024,11/2/2023,84.29,EUR
Carbon,ICE_EUA,MAR-2024,11/2/2023,84.83,EUR
Carbon,ICE_EUA,APR-2024,11/2/2023,84.83,EUR
Carbon,ICE_EUA,JUN-2024,11/2/2023,85.98,EUR
Carbon,ICE_EUA,AUG-2024,11/2/2023,86.64,EUR
Carbon,ICE_EUA,SEP-2024,11/2/2023,87.10,EUR
Carbon,ICE_EUA,OCT-2024,11/2/2023,87.10,EUR
Carbon,ICE_EUA,DEC-2024,11/2/2023,87.96,EUR
Carbon,ICE_EUA,JAN-2025,11/2/2023,87.96,EUR
Carbon,ICE_EUA,MAR-2025,11/2/2023,89.06,EUR
Carbon,ICE_EUA,APR-2025,11/2/2023,89.06,EUR
Carbon,ICE_EUA,JUN-2025,11/2/2023,89.94,EUR
Carbon,ICE_EUA,AUG-2025,11/2/2023,90.48,EUR
Carbon,ICE_EUA,SEP-2025,11/2/2023,90.69,EUR
Carbon,ICE_EUA,OCT-2025,11/2/2023,90.69,EUR
Carbon,ICE_EUA,DEC-2025,11/2/2023,91.55,EUR
Carbon,ICE_EUA,JAN-2026,11/2/2023,91.55,EUR
Carbon,ICE_EUA,APR-2026,11/2/2023,92.51,EUR
Carbon,ICE_EUA,DEC-2026,11/2/2023,95.34,EUR
Carbon,ICE_EUA,DEC-2027,11/2/2023,99.23,EUR
Carbon,ICE_EUA,DEC-2029,11/2/2023,107.44,EUR
Carbon,ICE_EUA,DEC-2030,11/2/2023,107.44,EUR
Carbon,ICE_EUA,SPOT,11/3/2023,82.91,EUR
Carbon,ICE_EUA,DEC-2023,11/3/2023,83.09,EUR
Carbon,ICE_EUA,JAN-2024,11/3/2023,83.56,EUR
Carbon,ICE_EUA,MAR-2024,11/3/2023,84.13,EUR
Carbon,ICE_EUA,APR-2024,11/3/2023,84.13,EUR
Carbon,ICE_EUA,JUN-2024,11/3/2023,85.20,EUR
Carbon,ICE_EUA,AUG-2024,11/3/2023,85.87,EUR
